,Unnamed: 0,Accuracy_CDI_01234,False Positive_CDI_01234,False Negative_CDI_01234,True Positive_CDI_01234,True Negative_CDI_01234,True Positive Rate / Sensitivity_CDI_01234,True Negative Rate / Specificity_CDI_01234,Positive predictive value / Precision_CDI_01234,Negative predictive value_CDI_01234,False Positive rate / Fall out_CDI_01234,False Negative rate_CDI_01234,False discovery rate_CDI_01234,Overall accuracy (from conf m)_CDI_01234,Unnamed: 0,Accuracy_CDI_0123,False Positive_CDI_0123,False Negative_CDI_0123,True Positive_CDI_0123,True Negative_CDI_0123,True Positive Rate / Sensitivity_CDI_0123,True Negative Rate / Specificity_CDI_0123,Positive predictive value / Precision_CDI_0123,Negative predictive value_CDI_0123,False Positive rate / Fall out_CDI_0123,False Negative rate_CDI_0123,False discovery rate_CDI_0123,Overall accuracy (from conf m)_CDI_0123,Unnamed: 0,Accuracy_CDI_012,False Positive_CDI_012,False Negative_CDI_012,True Positive_CDI_012,True Negative_CDI_012,True Positive Rate / Sensitivity_CDI_012,True Negative Rate / Specificity_CDI_012,Positive predictive value / Precision_CDI_012,Negative predictive value_CDI_012,False Positive rate / Fall out_CDI_012,False Negative rate_CDI_012,False discovery rate_CDI_012,Overall accuracy (from conf m)_CDI_012,Unnamed: 0,Accuracy_CDI_01,False Positive_CDI_01,False Negative_CDI_01,True Positive_CDI_01,True Negative_CDI_01,True Positive Rate / Sensitivity_CDI_01,True Negative Rate / Specificity_CDI_01,Positive predictive value / Precision_CDI_01,Negative predictive value_CDI_01,False Positive rate / Fall out_CDI_01,False Negative rate_CDI_01,False discovery rate_CDI_01,Overall accuracy (from conf m)_CDI_01,Unnamed: 0,Accuracy_CDI_0,False Positive_CDI_0,False Negative_CDI_0,True Positive_CDI_0,True Negative_CDI_0,True Positive Rate / Sensitivity_CDI_0,True Negative Rate / Specificity_CDI_0,Positive predictive value / Precision_CDI_0,Negative predictive value_CDI_0,False Positive rate / Fall out_CDI_0,False Negative rate_CDI_0,False discovery rate_CDI_0,Overall accuracy (from conf m)_CDI_0
10,10,0.8,27.0,1.0,81.0,31.0,0.9878048780487804,0.5344827586206896,0.75,0.96875,0.4655172413793103,0.0121951219512195,0.25,0.8,10,0.7928571428571428,26.0,3.0,79.0,32.0,0.9634146341463414,0.5517241379310345,0.7523809523809524,0.9142857142857144,0.4482758620689655,0.0365853658536585,0.2476190476190476,0.7928571428571428,10,0.8214285714285714,19.0,6.0,76.0,39.0,0.926829268292683,0.6724137931034483,0.8,0.8666666666666667,0.3275862068965517,0.073170731707317,0.2,0.8214285714285714,10,0.75,14.0,21.0,61.0,44.0,0.7439024390243902,0.7586206896551724,0.8133333333333334,0.676923076923077,0.2413793103448276,0.2560975609756097,0.1866666666666666,0.75,10,0.6357142857142857,7.0,44.0,38.0,51.0,0.4634146341463415,0.8793103448275862,0.8444444444444444,0.5368421052631579,0.1206896551724138,0.5365853658536586,0.1555555555555555,0.6357142857142857
11,11,0.75,32.0,3.0,66.0,39.0,0.9565217391304348,0.5492957746478874,0.673469387755102,0.9285714285714286,0.4507042253521127,0.0434782608695652,0.3265306122448979,0.75,11,0.7642857142857142,30.0,3.0,66.0,41.0,0.9565217391304348,0.5774647887323944,0.6875,0.9318181818181818,0.4225352112676056,0.0434782608695652,0.3125,0.7642857142857142,11,0.7428571428571429,26.0,10.0,59.0,45.0,0.855072463768116,0.6338028169014085,0.6941176470588235,0.8181818181818182,0.3661971830985915,0.144927536231884,0.3058823529411765,0.7428571428571429,11,0.6857142857142857,20.0,24.0,45.0,51.0,0.6521739130434783,0.7183098591549296,0.6923076923076923,0.68,0.2816901408450704,0.3478260869565217,0.3076923076923077,0.6857142857142857,11,0.6214285714285714,10.0,43.0,26.0,61.0,0.3768115942028985,0.8591549295774648,0.7222222222222222,0.5865384615384616,0.1408450704225352,0.6231884057971014,0.2777777777777778,0.6214285714285714
12,12,0.7571428571428571,30.0,4.0,73.0,33.0,0.948051948051948,0.5238095238095238,0.7087378640776699,0.8918918918918919,0.4761904761904761,0.0519480519480519,0.2912621359223301,0.7571428571428571,12,0.7785714285714286,26.0,5.0,72.0,37.0,0.935064935064935,0.5873015873015873,0.7346938775510204,0.8809523809523809,0.4126984126984127,0.0649350649350649,0.2653061224489796,0.7785714285714286,12,0.7714285714285715,19.0,13.0,64.0,44.0,0.8311688311688312,0.6984126984126984,0.7710843373493976,0.7719298245614035,0.3015873015873015,0.1688311688311688,0.2289156626506024,0.7714285714285715,12,0.7142857142857143,15.0,25.0,52.0,48.0,0.6753246753246753,0.7619047619047619,0.7761194029850746,0.6575342465753424,0.238095238095238,0.3246753246753247,0.2238805970149253,0.7142857142857143,12,0.6928571428571428,5.0,38.0,39.0,58.0,0.5064935064935064,0.9206349206349206,0.8863636363636364,0.6041666666666666,0.0793650793650793,0.4935064935064935,0.1136363636363636,0.6928571428571428
13,13,0.7357142857142858,36.0,1.0,75.0,28.0,0.986842105263158,0.4375,0.6756756756756757,0.9655172413793104,0.5625,0.0131578947368421,0.3243243243243243,0.7357142857142858,13,0.75,34.0,1.0,75.0,30.0,0.986842105263158,0.46875,0.6880733944954128,0.967741935483871,0.53125,0.0131578947368421,0.3119266055045872,0.75,13,0.75,27.0,8.0,68.0,37.0,0.8947368421052632,0.578125,0.7157894736842105,0.8222222222222222,0.421875,0.1052631578947368,0.2842105263157894,0.75,13,0.6928571428571428,20.0,23.0,53.0,44.0,0.6973684210526315,0.6875,0.726027397260274,0.6567164179104478,0.3125,0.3026315789473684,0.273972602739726,0.6928571428571428,13,0.6714285714285714,8.0,38.0,38.0,56.0,0.5,0.875,0.8260869565217391,0.5957446808510638,0.125,0.5,0.1739130434782608,0.6714285714285714
14,14,0.7785714285714286,30.0,1.0,72.0,37.0,0.9863013698630136,0.5522388059701493,0.7058823529411765,0.9736842105263158,0.4477611940298507,0.0136986301369863,0.2941176470588235,0.7785714285714286,14,0.7857142857142857,29.0,1.0,72.0,38.0,0.9863013698630136,0.5671641791044776,0.7128712871287128,0.9743589743589745,0.4328358208955223,0.0136986301369863,0.2871287128712871,0.7857142857142857,14,0.7857142857142857,23.0,7.0,66.0,44.0,0.9041095890410958,0.6567164179104478,0.7415730337078652,0.8627450980392157,0.3432835820895522,0.0958904109589041,0.2584269662921348,0.7857142857142857,14,0.7714285714285715,12.0,20.0,53.0,55.0,0.726027397260274,0.8208955223880597,0.8153846153846154,0.7333333333333333,0.1791044776119403,0.273972602739726,0.1846153846153846,0.7714285714285715,14,0.6785714285714286,4.0,41.0,32.0,63.0,0.4383561643835616,0.9402985074626866,0.8888888888888888,0.6057692307692307,0.0597014925373134,0.5616438356164384,0.1111111111111111,0.6785714285714286
15,15,0.7571428571428571,33.0,1.0,70.0,36.0,0.9859154929577464,0.5217391304347826,0.6796116504854369,0.972972972972973,0.4782608695652174,0.0140845070422535,0.3203883495145631,0.7571428571428571,15,0.7714285714285715,31.0,1.0,70.0,38.0,0.9859154929577464,0.5507246376811594,0.693069306930693,0.9743589743589745,0.4492753623188406,0.0140845070422535,0.3069306930693069,0.7714285714285715,15,0.7642857142857142,25.0,8.0,63.0,44.0,0.8873239436619719,0.6376811594202898,0.7159090909090909,0.8461538461538461,0.3623188405797101,0.1126760563380281,0.2840909090909091,0.7642857142857142,15,0.7785714285714286,13.0,18.0,53.0,56.0,0.7464788732394366,0.8115942028985508,0.803030303030303,0.7567567567567568,0.1884057971014492,0.2535211267605634,0.1969696969696969,0.7785714285714286,15,0.6928571428571428,4.0,39.0,32.0,65.0,0.4507042253521127,0.9420289855072465,0.8888888888888888,0.625,0.0579710144927536,0.5492957746478874,0.1111111111111111,0.6928571428571428
16,16,0.7428571428571429,35.0,1.0,68.0,36.0,0.9855072463768116,0.5070422535211268,0.6601941747572816,0.972972972972973,0.4929577464788732,0.0144927536231884,0.3398058252427184,0.7428571428571429,16,0.75,34.0,1.0,68.0,37.0,0.9855072463768116,0.5211267605633803,0.6666666666666666,0.9736842105263158,0.4788732394366197,0.0144927536231884,0.3333333333333333,0.75,16,0.7428571428571429,29.0,7.0,62.0,42.0,0.8985507246376812,0.5915492957746479,0.6813186813186813,0.8571428571428571,0.4084507042253521,0.1014492753623188,0.3186813186813186,0.7428571428571429,16,0.7142857142857143,20.0,20.0,49.0,51.0,0.7101449275362319,0.7183098591549296,0.7101449275362319,0.7183098591549296,0.2816901408450704,0.2898550724637681,0.2898550724637681,0.7142857142857143,16,0.6857142857142857,9.0,35.0,34.0,62.0,0.4927536231884058,0.8732394366197183,0.7906976744186046,0.6391752577319587,0.1267605633802817,0.5072463768115942,0.2093023255813953,0.6857142857142857
17,17,0.7714285714285715,31.0,1.0,67.0,41.0,0.9852941176470588,0.5694444444444444,0.6836734693877551,0.9761904761904762,0.4305555555555556,0.0147058823529411,0.3163265306122449,0.7714285714285715,17,0.7785714285714286,30.0,1.0,67.0,42.0,0.9852941176470588,0.5833333333333334,0.6907216494845361,0.9767441860465116,0.4166666666666667,0.0147058823529411,0.3092783505154639,0.7785714285714286,17,0.8071428571428572,22.0,5.0,63.0,50.0,0.9264705882352942,0.6944444444444444,0.7411764705882353,0.9090909090909092,0.3055555555555556,0.0735294117647058,0.2588235294117647,0.8071428571428572,17,0.7571428571428571,15.0,19.0,49.0,57.0,0.7205882352941176,0.7916666666666666,0.765625,0.75,0.2083333333333333,0.2794117647058823,0.234375,0.7571428571428571,17,0.6857142857142857,7.0,37.0,31.0,65.0,0.4558823529411764,0.9027777777777778,0.8157894736842105,0.6372549019607843,0.0972222222222222,0.5441176470588235,0.1842105263157894,0.6857142857142857
18,18,0.7214285714285714,39.0,0.0,56.0,45.0,1.0,0.5357142857142857,0.5894736842105263,1.0,0.4642857142857143,0.0,0.4105263157894737,0.7214285714285714,18,0.7428571428571429,36.0,0.0,56.0,48.0,1.0,0.5714285714285714,0.6086956521739131,1.0,0.4285714285714285,0.0,0.391304347826087,0.7428571428571429,18,0.7571428571428571,29.0,5.0,51.0,55.0,0.9107142857142856,0.6547619047619048,0.6375,0.9166666666666666,0.3452380952380952,0.0892857142857142,0.3625,0.7571428571428571,18,0.7428571428571429,22.0,14.0,42.0,62.0,0.75,0.7380952380952381,0.65625,0.8157894736842105,0.2619047619047619,0.25,0.34375,0.7428571428571429,18,0.7071428571428572,13.0,28.0,28.0,71.0,0.5,0.8452380952380952,0.6829268292682927,0.7171717171717171,0.1547619047619047,0.5,0.3170731707317073,0.7071428571428572
19,19,0.7642857142857142,30.0,3.0,67.0,40.0,0.9571428571428572,0.5714285714285714,0.6907216494845361,0.9302325581395348,0.4285714285714285,0.0428571428571428,0.3092783505154639,0.7642857142857142,19,0.7714285714285715,29.0,3.0,67.0,41.0,0.9571428571428572,0.5857142857142857,0.6979166666666666,0.9318181818181818,0.4142857142857143,0.0428571428571428,0.3020833333333333,0.7714285714285715,19,0.7571428571428571,23.0,11.0,59.0,47.0,0.8428571428571429,0.6714285714285714,0.7195121951219512,0.8103448275862069,0.3285714285714285,0.1571428571428571,0.2804878048780488,0.7571428571428571,19,0.7357142857142858,13.0,24.0,46.0,57.0,0.6571428571428571,0.8142857142857143,0.7796610169491526,0.7037037037037037,0.1857142857142857,0.3428571428571428,0.2203389830508474,0.7357142857142858,19,0.6928571428571428,2.0,41.0,29.0,68.0,0.4142857142857143,0.9714285714285714,0.935483870967742,0.6238532110091743,0.0285714285714285,0.5857142857142857,0.064516129032258,0.6928571428571428
