,Unnamed: 0,class,precision_CDI_01234,recall_CDI_01234,f1_score_CDI_01234,support,Unnamed: 0,class,precision_CDI_0123,recall_CDI_0123,f1_score_CDI_0123,support,Unnamed: 0,class,precision_CDI_012,recall_CDI_012,f1_score_CDI_012,support,Unnamed: 0,class,precision_CDI_01,recall_CDI_01,f1_score_CDI_01,support,Unnamed: 0,class,precision_CDI0,recall_CDI0,f1_score_CDI0,support,Unnamed: 0,class,precision_RF,recall_RF,f1_score_RF,support
22,22,0,0.93,0.57,0.71,70,45.0,1.0,0.68,1.0,0.81,72.0,45.0,1.0,0.73,0.96,0.83,72.0,45.0,1.0,0.78,0.79,0.79,72.0,23.0,1.0,0.84,0.5,0.63,72.0,22,0,0.93,0.9,0.92,78
23,23,1,0.69,0.96,0.8,70,47.0,1.0,0.69,0.98,0.81,65.0,47.0,1.0,0.7,0.91,0.79,65.0,47.0,1.0,0.72,0.72,0.72,65.0,24.0,1.0,0.75,0.42,0.53,65.0,23,1,0.88,0.92,0.9,62
24,24,0,1.0,0.56,0.72,73,49.0,1.0,0.64,0.97,0.77,60.0,49.0,1.0,0.68,0.9,0.78,60.0,49.0,1.0,0.69,0.68,0.69,60.0,25.0,1.0,0.75,0.45,0.56,60.0,24,0,0.93,0.89,0.91,79
25,25,1,0.68,1.0,0.81,67,51.0,1.0,0.7,1.0,0.82,73.0,51.0,1.0,0.77,0.9,0.83,73.0,51.0,1.0,0.78,0.71,0.74,73.0,26.0,1.0,0.75,0.37,0.5,73.0,25,1,0.86,0.92,0.89,61
26,26,0,0.98,0.51,0.67,79,53.0,1.0,0.64,1.0,0.78,59.0,53.0,1.0,0.66,0.92,0.77,59.0,53.0,1.0,0.68,0.71,0.69,59.0,27.0,1.0,0.77,0.51,0.61,59.0,26,0,0.87,0.92,0.9,65
27,27,1,0.61,0.98,0.75,61,55.0,1.0,0.76,0.98,0.86,82.0,55.0,1.0,0.77,0.85,0.81,82.0,55.0,1.0,0.83,0.65,0.73,82.0,28.0,1.0,0.87,0.48,0.61,82.0,27,1,0.93,0.88,0.9,75
28,28,0,1.0,0.48,0.65,65,57.0,1.0,0.68,0.93,0.78,70.0,57.0,1.0,0.7,0.89,0.78,70.0,57.0,1.0,0.7,0.71,0.71,70.0,29.0,1.0,0.73,0.43,0.54,70.0,28,0,1.0,0.95,0.98,83
29,29,1,0.69,1.0,0.82,75,59.0,1.0,0.63,1.0,0.77,66.0,59.0,1.0,0.62,0.86,0.72,66.0,59.0,1.0,0.66,0.7,0.68,66.0,30.0,1.0,0.68,0.39,0.5,66.0,29,1,0.93,1.0,0.97,57
30,30,0,1.0,0.55,0.71,83,61.0,1.0,0.66,1.0,0.79,65.0,61.0,1.0,0.68,0.89,0.77,65.0,61.0,1.0,0.69,0.72,0.71,65.0,31.0,1.0,0.81,0.45,0.57,65.0,30,0,0.93,0.89,0.91,74
31,31,1,0.61,1.0,0.75,57,63.0,1.0,0.68,0.97,0.8,68.0,63.0,1.0,0.7,0.85,0.77,68.0,63.0,1.0,0.69,0.65,0.67,68.0,32.0,1.0,0.79,0.44,0.57,68.0,31,1,0.88,0.92,0.9,66
32,32,0,0.93,0.54,0.68,74,65.0,1.0,0.69,0.97,0.81,71.0,65.0,1.0,0.75,0.93,0.83,71.0,65.0,1.0,0.77,0.69,0.73,71.0,33.0,1.0,0.83,0.49,0.62,71.0,32,0,0.93,0.96,0.94,67
33,33,1,0.65,0.95,0.77,66,67.0,1.0,0.67,0.98,0.8,63.0,67.0,1.0,0.68,0.87,0.76,63.0,67.0,1.0,0.68,0.6,0.64,63.0,34.0,1.0,0.77,0.38,0.51,63.0,33,1,0.96,0.93,0.94,73
34,34,0,0.96,0.66,0.78,67,69.0,1.0,0.67,0.95,0.78,65.0,69.0,1.0,0.69,0.85,0.76,65.0,69.0,1.0,0.68,0.62,0.65,65.0,35.0,1.0,0.75,0.37,0.49,65.0,34,0,0.91,0.91,0.91,77
